location_coordinates,address,type
"41.82371281, -87.602350437","South Lake Park Avenue, Oakland, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",playground
"41.963374382, -87.67018455","1619-1623, West Sunnyside Avenue, Ravenswood Place, Uptown, Chicago, Lake View Township, Cook County, Illinois, 60640, United States",apartments
"41.89967018, -87.669837798","Wells Community Academy High School, 936, West Augusta Boulevard, Ukrainian Village, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60622, United States",school
"41.713148612, -87.675075312","9920, South Hoyne Avenue, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",yes
"41.798041716, -87.594196627","1314-1316, East 54th Street, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",residential
"41.869274453, -87.664047241","929-931, South Laflin Street, University Village/Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",yes
"41.94651142, -87.806020002","3640, North Neva Avenue, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",yes
"42.007612593, -87.813781034","6950, North Olcott Avenue, Edison Park, Chicago, Jefferson Township, Cook County, Illinois, 60631, United States",yes
"41.966834067, -87.684018371","2179-2181, West Leland Avenue, West Ravenswood, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",apartments
"41.921273105, -87.68508211","North Oakley Avenue, Bucktown, Logan Square, Chicago, West Chicago Township, Cook County, Illinois, 60647, United States",pitch
"41.892536872, -87.659864318","1304, West Ohio Street, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60642, United States",yes
"41.790506261, -87.583143717","Museum of Science and Industry, 5700, South Lake Shore Drive, Indian Village, Kenwood, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",museum
"41.771848515, -87.695666342","6650-6656, South Francisco Avenue, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",yes
"41.950545696, -87.676182496","Mangi's, 3801, West Grace Street, Cuyler, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",restaurant
"41.935988906, -87.670966384","2958, North Paulina Street, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",yes
"41.80908443, -87.632424524","West 47th Street, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",secondary
"41.839086906, -87.714003807","2858, South Drake Avenue, Little Village, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",yes
"41.775928827, -87.666596265","6458, South Paulina Street, Drexel Estate, West Englewood, Chicago, Lake Township, Cook County, Illinois, 60636, United States",yes
"41.80901825, -87.659166599","1335, West 47th Street, Whiskey Point, New City, Chicago, Lake Township, Cook County, Illinois, 60609, United States",yes
"41.829922304, -87.672502646","3519, South Wolcott Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",yes
